Time Throughput
0.000009 0.832672
0.000009 1.657870
0.000009 2.484703
0.000009 3.303159
0.000009 4.962730
0.000009 6.642901
0.000009 9.936742
0.000009 10.732942
0.000009 13.185202
0.000009 15.646943
0.000009 17.322467
0.000009 20.307985
0.000009 22.754678
0.000009 24.447919
0.000010 25.143004
0.000010 27.476959
0.000010 35.248197
0.000010 36.783738
0.000010 38.995069
0.000010 46.595714
0.000010 48.616004
0.000010 50.924660
0.000010 70.191500
0.000010 72.220666
0.000010 76.769224
0.000010 93.381360
0.000010 98.102704
0.000010 100.107533
0.000010 142.452870
0.000010 146.455460
0.000010 147.317372
0.000010 188.794830
0.000010 186.953481
0.000010 188.841299
0.000011 270.672748
0.000011 272.481987
0.000011 274.394542
0.000011 351.795725
0.000011 354.122121
0.000011 354.538291
0.000012 504.789793
0.000012 505.600630
0.000012 505.609148
0.000012 642.967597
0.000012 644.940953
0.000012 645.393376
0.000013 876.241226
0.000013 879.159610
0.000013 879.311261
0.000014 1080.895784
0.000014 1081.299586
0.000014 1080.834772
0.000017 1342.076785
0.000017 1356.069978
0.000024 989.478183
0.000031 994.553659
0.000031 993.382850
0.000031 1006.075902
0.000020 2341.426009
0.000020 2344.847975
0.000020 2343.644806
0.000022 2880.498526
0.000022 2888.476162
0.000022 2808.620586
0.000025 3708.358544
0.000025 3712.915547
0.000025 3727.885796
0.000030 4209.928688
0.000029 4334.698820
0.000030 4210.948295
0.000036 5215.043998
0.000036 5204.014528
0.000036 5160.307348
0.000044 5717.610987
0.000044 5664.566118
0.000044 5656.346172
0.000058 6514.094510
0.000058 6477.378004
0.000058 6466.840155
0.000073 6859.199973
0.000073 6819.883578
0.000073 6813.359628
0.000100 7478.694485
0.000100 7509.565374
0.000100 7479.450152
0.000125 7968.246798
0.000125 8000.771409
0.000126 7956.891948
0.000179 8384.965176
0.000180 8313.338503
0.000180 8313.592414
0.000232 8618.539127
0.000234 8562.678663
0.000234 8556.124160
0.000340 8819.337245
0.000342 8779.170369
0.000342 8777.633514
0.000448 8928.192052
0.000449 8902.114849
0.000449 8906.413361
0.000665 9029.188245
0.000666 9014.612759
0.000666 9008.773971
0.000882 9066.818274
0.000884 9049.848672
0.000882 9071.269128
0.001312 9143.727727
0.001316 9115.817519
0.001314 9132.631459
0.001744 9173.006345
0.001749 9145.871684
0.001749 9146.850420
0.002610 9196.387113
0.002611 9190.537064
0.002612 9189.873271
0.003474 9212.304616
0.003478 9199.665276
0.003478 9200.581771
0.005204 9222.885347
0.005208 9215.731941
0.005208 9216.049758
0.006933 9230.629515
0.006939 9223.415141
0.006938 9225.152999
0.010392 9237.628526
0.010398 9232.319374
0.010400 9231.157453
0.013852 9240.332328
0.013857 9237.177458
0.013857 9237.285065
